15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,,125mm Copper Pipe,,150mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0125,0.517,0.0125,1.646,0.0125,3.637,0.0125,7.464,0.0125,12.824,0.0125,31.102,0.0125,57.897,0.0125,94.263,,,,,,
0.0126,0.519,0.0126,1.651,0.0126,3.654,0.0126,7.494,0.0126,12.875,0.0126,31.204,0.0126,58.142,0.0126,94.614,,,,,,
0.0127,0.521,0.0127,1.656,0.0127,3.671,0.0127,7.524,0.0127,12.926,0.0127,31.306,0.0127,58.387,0.0127,94.965,,,,,,
0.0128,0.523,0.0128,1.661,0.0128,3.688,0.0128,7.554,0.0128,12.977,0.0128,31.408,0.0128,58.631,0.0128,95.315,,,,,,
0.0129,0.525,0.0129,1.666,0.0129,3.705,0.0129,7.584,0.0129,13.028,0.0129,31.51,0.0129,58.876,0.0129,95.666,,,,,,
0.013,0.527,0.013,1.672,0.013,3.722,0.013,7.613,0.013,13.079,0.013,31.612,0.013,59.12,0.013,96.017,,,,,,
0.0131,0.53,0.0131,1.677,0.0131,3.739,0.0131,7.643,0.0131,13.13,0.0131,31.714,0.0131,59.365,0.0131,96.368,,,,,,
0.0132,0.532,0.0132,1.682,0.0132,3.756,0.0132,7.673,0.0132,13.181,0.0132,31.816,0.0132,59.609,0.0132,96.719,,,,,,
0.0133,0.534,0.0133,1.687,0.0133,3.773,0.0133,7.703,0.0133,13.232,0.0133,31.919,0.0133,59.854,0.0133,97.07,,,,,,
0.0134,0.536,0.0134,1.692,0.0134,3.79,0.0134,7.732,0.0134,13.283,0.0134,32.021,0.0134,60.098,0.0134,97.421,,,,,,
0.0135,0.538,0.0135,1.697,0.0135,3.807,0.0135,7.762,0.0135,13.334,0.0135,32.123,0.0135,60.343,0.0135,97.772,,,,,,
0.0136,0.54,0.0136,1.702,0.0136,3.824,0.0136,7.792,0.0136,13.385,0.0136,32.225,0.0136,60.588,0.0136,98.123,,,,,,
0.0137,0.542,0.0137,1.707,0.0137,3.841,0.0137,7.822,0.0137,13.436,0.0137,32.327,0.0137,60.832,0.0137,98.473,,,,,,
0.0138,0.544,0.0138,1.712,0.0138,3.858,0.0138,7.852,0.0138,13.487,0.0138,32.429,0.0138,61.077,0.0138,98.824,,,,,,
0.0139,0.547,0.0139,1.717,0.0139,3.875,0.0139,7.881,0.0139,13.538,0.0139,32.531,0.0139,61.321,0.0139,99.175,,,,,,
0.014,0.549,0.014,1.723,0.014,3.892,0.014,7.911,0.014,13.589,0.014,32.633,0.014,61.566,0.014,99.526,,,,,,
0.0141,0.551,0.0141,1.728,0.0141,3.909,0.0141,7.941,0.0141,13.64,0.0141,32.735,0.0141,61.81,0.0141,99.877,,,,,,
0.0142,0.553,0.0142,1.733,0.0142,3.926,0.0142,7.971,0.0142,13.691,0.0142,32.837,0.0142,62.055,0.0142,100.228,,,,,,
0.0143,0.555,0.0143,1.738,0.0143,3.943,0.0143,8,0.0143,13.742,0.0143,32.939,0.0143,62.3,0.0143,100.579,,,,,,
0.0144,0.557,0.0144,1.743,0.0144,3.96,0.0144,8.03,0.0144,13.793,0.0144,33.041,0.0144,62.544,0.0144,100.93,,,,,,
0.0145,0.559,0.0145,1.748,0.0145,3.977,0.0145,8.06,0.0145,13.844,0.0145,33.143,0.0145,62.789,0.0145,101.281,,,,,,
0.0146,0.561,0.0146,1.753,0.0146,3.994,0.0146,8.09,0.0146,13.895,0.0146,33.246,0.0146,63.033,0.0146,101.631,,,,,,
