15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,,125mm Copper Pipe,,150mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0069,0.323,0.0069,1.32,0.0069,3.001,0.0069,5.688,0.0069,9.718,0.0069,24.347,0.0069,44.602,0.0069,71.2,,,,,,
0.007,0.327,0.007,1.33,0.007,3.028,0.007,5.729,0.007,9.821,0.007,24.552,0.007,45.012,0.007,71.609,,,,,,
0.0071,0.331,0.0071,1.338,0.0071,3.055,0.0071,5.77,0.0071,9.913,0.0071,24.756,0.0071,45.318,0.0071,72.223,,,,,,
0.0072,0.336,0.0072,1.346,0.0072,3.081,0.0072,5.811,0.0072,10.005,0.0072,24.961,0.0072,45.625,0.0072,72.837,,,,,,
0.0073,0.34,0.0073,1.354,0.0073,3.108,0.0073,5.852,0.0073,10.097,0.0073,25.166,0.0073,45.932,0.0073,73.451,,,,,,
0.0074,0.344,0.0074,1.363,0.0074,3.134,0.0074,5.892,0.0074,10.189,0.0074,25.37,0.0074,46.239,0.0074,74.065,,,,,,
0.0075,0.348,0.0075,1.371,0.0075,3.161,0.0075,5.933,0.0075,10.281,0.0075,25.575,0.0075,46.546,0.0075,74.678,,,,,,
0.0076,0.352,0.0076,1.379,0.0076,3.188,0.0076,5.974,0.0076,10.373,0.0076,25.779,0.0076,46.853,0.0076,75.292,,,,,,
0.0077,0.356,0.0077,1.387,0.0077,3.214,0.0077,6.015,0.0077,10.465,0.0077,25.984,0.0077,47.16,0.0077,75.906,,,,,,
0.0078,0.36,0.0078,1.395,0.0078,3.241,0.0078,6.056,0.0078,10.557,0.0078,26.189,0.0078,47.467,0.0078,76.52,,,,,,
0.0079,0.364,0.0079,1.404,0.0079,3.267,0.0079,6.097,0.0079,10.649,0.0079,26.393,0.0079,47.774,0.0079,77.133,,,,,,
0.008,0.368,0.008,1.412,0.008,3.294,0.008,6.138,0.008,10.741,0.008,26.598,0.008,48.081,0.008,77.747,,,,,,
0.0081,0.374,0.0081,1.422,0.0081,3.312,0.0081,6.189,0.0081,10.813,0.0081,26.905,0.0081,46.648,0.0081,78.208,,,,,,
0.0082,0.381,0.0082,1.432,0.0082,3.331,0.0082,6.24,0.0082,10.885,0.0082,27.212,0.0082,45.216,0.0082,78.668,,,,,,
0.0083,0.387,0.0083,1.442,0.0083,3.349,0.0083,6.291,0.0083,10.956,0.0083,27.518,0.0083,43.784,0.0083,79.128,,,,,,
0.0084,0.393,0.0084,1.453,0.0084,3.368,0.0084,6.343,0.0084,11.028,0.0084,27.825,0.0084,42.352,0.0084,79.589,,,,,,
0.0085,0.399,0.0085,1.463,0.0085,3.386,0.0085,6.394,0.0085,11.099,0.0085,28.132,0.0085,40.92,0.0085,80.049,,,,,,
0.0086,0.405,0.0086,1.473,0.0086,3.405,0.0086,6.445,0.0086,11.171,0.0086,28.439,0.0086,39.487,0.0086,80.509,,,,,,
0.0087,0.411,0.0087,1.483,0.0087,3.423,0.0087,6.496,0.0087,11.243,0.0087,28.746,0.0087,38.055,0.0087,80.97,,,,,,
0.0088,0.417,0.0088,1.494,0.0088,3.441,0.0088,6.547,0.0088,11.314,0.0088,29.053,0.0088,36.623,0.0088,81.43,,,,,,
0.0089,0.424,0.0089,1.504,0.0089,3.46,0.0089,6.598,0.0089,11.386,0.0089,29.36,0.0089,35.191,0.0089,81.89,,,,,,
