6mm Copper Pipe,,8mm Copper Pipe,,10mm Copper Pipe,,15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0078,0,0.0078,0,0.0078,0,0.0078,0.524,0.0078,1.772,0.0078,3.961,0.0078,7.644,0.0078,13.094,0.0078,32.122,0.0078,55.241,0.0078,87.241,,
0.0079,0,0.0079,0,0.0079,0,0.0079,0.528,0.0079,1.786,0.0079,3.975,0.0079,7.679,0.0079,13.197,0.0079,32.429,0.0079,55.753,0.0079,87.916,,
0.008,0,0.008,0,0.008,0,0.008,0.532,0.008,1.8,0.008,3.99,0.008,7.713,0.008,13.299,0.008,32.736,0.008,56.264,0.008,88.591,,
0.0081,0,0.0081,0,0.0081,0,0.0081,0.534,0.0081,1.809,0.0081,4.02,0.0081,7.777,0.0081,13.401,0.0081,32.94,0.0081,56.571,0.0081,89.246,,
0.0082,0,0.0082,0,0.0082,0,0.0082,0.536,0.0082,1.817,0.0082,4.051,0.0082,7.84,0.0082,13.503,0.0082,33.145,0.0082,56.878,0.0082,89.9,,
0.0083,0,0.0083,0,0.0083,0,0.0083,0.538,0.0083,1.825,0.0083,4.082,0.0083,7.904,0.0083,13.606,0.0083,33.349,0.0083,57.185,0.0083,90.555,,
0.0084,0,0.0084,0,0.0084,0,0.0084,0.54,0.0084,1.833,0.0084,4.112,0.0084,7.967,0.0084,13.708,0.0084,33.554,0.0084,57.492,0.0084,91.21,,
0.0085,0,0.0085,0,0.0085,0,0.0085,0.542,0.0085,1.841,0.0085,4.143,0.0085,8.03,0.0085,13.81,0.0085,33.759,0.0085,57.799,0.0085,91.865,,
0.0086,0,0.0086,0,0.0086,0,0.0086,0.544,0.0086,1.85,0.0086,4.174,0.0086,8.094,0.0086,13.913,0.0086,33.963,0.0086,58.106,0.0086,92.519,,
0.0087,0,0.0087,0,0.0087,0,0.0087,0.546,0.0087,1.858,0.0087,4.204,0.0087,8.157,0.0087,14.015,0.0087,34.168,0.0087,58.413,0.0087,93.174,,
